num,fecha,clave_edo,estado,clave_mun,municipio,categoria,tipo
210,2016-10-03,24,San Luis Potosí,24015,Charcas,Vandalismo al Tren,Apertura de Unidades
211,2016-10-03,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Cierre de Angulares
212,2016-10-03,05,Coahuila de Zaragoza,05030,Saltillo,Vandalismo al Tren,Material Rodante
213,2016-10-03,19,Nuevo León,19039,Monterrey,Vandalismo al Tren,Material Rodante
214,2016-10-03,28,Tamaulipas,28027,Nuevo Laredo,Vandalismo al Tren,Material Rodante
215,2016-10-03,28,Tamaulipas,28027,Nuevo Laredo,Vandalismo al Tren,Material Rodante
216,2016-10-03,22,Querétaro,22014,Querétaro,Vandalismo al Tren,Material Rodante
217,2016-10-03,05,Coahuila de Zaragoza,05030,Saltillo,Vandalismo al Tren,Material Rodante
218,2016-10-03,15,México,15057,Naucalpan de Juárez,Vandalismo al Tren,Material Rodante
219,2016-10-03,15,México,15057,Naucalpan de Juárez,Vandalismo al Tren,Material Rodante
220,2016-10-03,28,Tamaulipas,28027,Nuevo Laredo,Vandalismo al Tren,Material Rodante
221,2016-10-03,28,Tamaulipas,28027,Nuevo Laredo,Vandalismo al Tren,Material Rodante
222,2016-10-03,27,Tabasco,27008,Huimanguillo,Robo a Vía,Componentes de Vía
223,2016-10-04,14,Jalisco,14035,Encarnación de Díaz,Vandalismo al Tren,Cierre de Angulares
224,2016-10-04,13,Hidalgo,13029,Huichapan,Vandalismo al Tren,Cierre de Angulares
225,2016-10-04,15,México,15109,Tultitlán,Robo a Tren,Producto/Carga
226,2016-10-04,22,Querétaro,22017,Tequisquiapan,Vandalismo al Tren,Cierre de Angulares
227,2016-10-04,21,Puebla,21104,Nopalucan,Vandalismo al Tren,Cierre de Angulares
228,2016-10-04,29,Tlaxcala,29005,Apizaco,Vandalismo en Vía,Manipulación de Señales
229,2016-10-04,14,Jalisco,14098,Tlaquepaque,Vandalismo al Tren,Cierre de Angulares
230,2016-10-04,13,Hidalgo,13029,Huichapan,Vandalismo al Tren,Cierre de Angulares
231,2016-10-04,13,Hidalgo,13059,Tecozautla,Vandalismo al Tren,Cierre de Angulares
232,2016-10-04,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
233,2016-10-04,14,Jalisco,14097,Tlajomulco de Zúñiga,Vandalismo al Tren,Cierre de Angulares
234,2016-10-04,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Tren Dividido
235,2016-10-04,06,Colima,06002,Colima,Vandalismo al Tren,Cierre de Angulares
236,2016-10-04,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
237,2016-10-04,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
238,2016-10-04,10,Durango,10007,Gómez Palacio,Vandalismo al Tren,Cierre de Angulares
239,2016-10-04,15,México,15081,Tecámac,Robo a Vía,Componentes de Vía
240,2016-10-04,05,Coahuila de Zaragoza,05010,Frontera,Vandalismo al Tren,Cierre de Angulares
241,2016-10-04,26,Sonora,26048,Puerto Peñasco,Vandalismo al Tren,Cierre de Angulares
242,2016-10-04,13,Hidalgo,13059,Tecozautla,Vandalismo al Tren,Cierre de Angulares
